***** rtt program started *****
HOST(IPv6): ::1                                     	RTT(1) = 0.070 ms	RTT(2) = 0.088 ms	RTT(3) = 0.095 ms	
HOST(IPv4): 5.62.63.76                              	RTT(1) = 137.834 ms	RTT(2) = 137.829 ms	RTT(3) = 137.824 ms	

HOST(IPv4): 5.62.61.180                             	RTT(1) = 137.756 ms	RTT(2) = 137.751 ms	RTT(3) = 137.505 ms	

HOST(IPv4): 5.62.35.167                             	RTT(1) = 137.852 ms	RTT(2) = 137.847 ms	RTT(3) = 137.842 ms	

HOST(IPv4): 5.62.61.108                             	RTT(1) = 137.852 ms	RTT(2) = 137.848 ms	RTT(3) = 137.841 ms	

HOST(IPv4): 5.62.61.88                              	RTT(1) = 137.879 ms	RTT(2) = 137.868 ms	RTT(3) = 137.863 ms	

HOST(IPv4): 5.62.18.59                              	RTT(1) = 137.925 ms	RTT(2) = 137.915 ms	RTT(3) = 137.903 ms	

HOST(IPv4): 5.62.58.144                             	RTT(1) = 137.925 ms	RTT(2) = 137.917 ms	RTT(3) = 137.905 ms	

HOST(IPv4): 5.62.58.160                             	RTT(1) = 137.927 ms	RTT(2) = 137.917 ms	RTT(3) = 137.906 ms	

HOST(IPv4): 5.62.56.212                             	RTT(1) = 137.929 ms	RTT(2) = 137.917 ms	RTT(3) = 137.906 ms	

HOST(IPv4): 5.62.56.192                             	RTT(1) = 137.948 ms	RTT(2) = 137.944 ms	RTT(3) = 137.938 ms	

HOST(IPv4): 103.76.164.19                           	RTT(1) = 137.948 ms	RTT(2) = 137.944 ms	RTT(3) = 137.938 ms	

HOST(IPv4): 5.62.58.152                             	RTT(1) = 137.949 ms	RTT(2) = 137.944 ms	RTT(3) = 137.938 ms	

HOST(IPv4): 5.62.56.176                             	RTT(1) = 137.950 ms	RTT(2) = 137.945 ms	RTT(3) = 137.940 ms	

HOST(IPv4): 5.62.63.72                              	RTT(1) = 137.950 ms	RTT(2) = 137.945 ms	RTT(3) = 137.940 ms	

HOST(IPv4): 5.62.61.76                              	RTT(1) = 137.971 ms	RTT(2) = 137.967 ms	RTT(3) = 137.961 ms	

HOST(IPv4): 5.62.58.140                             	RTT(1) = 137.971 ms	RTT(2) = 137.967 ms	RTT(3) = 137.962 ms	

HOST(IPv4): 5.62.56.160                             	RTT(1) = 137.972 ms	RTT(2) = 137.968 ms	RTT(3) = 137.962 ms	

HOST(IPv4): 5.62.56.172                             	RTT(1) = 137.973 ms	RTT(2) = 137.968 ms	RTT(3) = 137.962 ms	

HOST(IPv4): 195.158.248.94                          	RTT(1) = 137.973 ms	RTT(2) = 137.968 ms	RTT(3) = 137.963 ms	

HOST(IPv4): 5.62.61.56                              	RTT(1) = 137.998 ms	RTT(2) = 137.990 ms	RTT(3) = 137.984 ms	

HOST(IPv4): 5.62.61.52                              	RTT(1) = 137.998 ms	RTT(2) = 137.989 ms	RTT(3) = 137.983 ms	

